node	mat	pat	mat:pat	color
utig4-363	0	0	0:0	#AAAAAA
utig4-364	0	0	0:0	#AAAAAA
utig4-365	0	216	0:216	#8888FF
utig4-366	0	41	0:41	#AAAAAA
utig4-367	0	41	0:41	#AAAAAA
utig4-368	0	262	0:262	#8888FF
utig4-369	0	229	0:229	#8888FF
utig4-370	66	0	66:0	#AAAAAA
utig4-371	86	0	86:0	#AAAAAA
utig4-372	55	0	55:0	#AAAAAA
utig4-373	78	0	78:0	#AAAAAA
utig4-374	121	0	121:0	#FF8888
utig4-375	0	0	0:0	#AAAAAA
utig4-376	793	343054	793:343054	#8888FF
utig4-377	17	0	17:0	#AAAAAA
utig4-378	3	0	3:0	#AAAAAA
utig4-379	0	0	0:0	#AAAAAA
utig4-380	1	0	1:0	#AAAAAA
utig4-381	637	0	637:0	#FF8888
utig4-382	29	1356	29:1356	#8888FF
utig4-383	7942	552	7942:552	#FF8888
utig4-384	22	12142	22:12142	#8888FF
utig4-385	104237	279	104237:279	#FF8888
utig4-386	1	4	1:4	#AAAAAA
utig4-387	1	0	1:0	#AAAAAA
utig4-388	0	16	0:16	#AAAAAA
utig4-389	0	16	0:16	#AAAAAA
utig4-390	0	0	0:0	#AAAAAA
utig4-391	336	92364	336:92364	#8888FF
utig4-392	371864	300	371864:300	#FF8888
utig4-393	537	324575	537:324575	#8888FF
utig4-394	84342	156	84342:156	#FF8888
utig4-395	0	0	0:0	#AAAAAA
utig4-396	0	0	0:0	#AAAAAA
utig4-397	0	30	0:30	#AAAAAA
utig4-398	0	0	0:0	#AAAAAA
utig4-399	24497	49	24497:49	#FF8888
utig4-400	52	16557	52:16557	#8888FF
utig4-401	0	531	0:531	#8888FF
utig4-402	0	111	0:111	#8888FF
utig4-403	0	219	0:219	#8888FF
utig4-404	7	0	7:0	#AAAAAA
utig4-405	45	0	45:0	#AAAAAA
utig4-406	0	0	0:0	#AAAAAA
utig4-407	0	0	0:0	#AAAAAA
utig4-408	0	0	0:0	#AAAAAA
utig4-409	0	0	0:0	#AAAAAA
utig4-410	0	0	0:0	#AAAAAA
utig4-411	0	0	0:0	#AAAAAA
utig4-412	38	0	38:0	#AAAAAA
utig4-413	0	0	0:0	#AAAAAA
utig4-414	0	14	0:14	#AAAAAA
utig4-415	0	186	0:186	#8888FF
utig4-416	0	24	0:24	#AAAAAA
utig4-417	0	57	0:57	#AAAAAA
utig4-418	0	56	0:56	#AAAAAA
utig4-419	0	0	0:0	#AAAAAA
utig4-420	0	0	0:0	#AAAAAA
utig4-421	88600	69	88600:69	#FF8888
utig4-422	84	48239	84:48239	#8888FF
utig4-423	106175	245	106175:245	#FF8888
utig4-424	159	137454	159:137454	#8888FF
utig4-425	21	0	21:0	#AAAAAA
utig4-426	0	0	0:0	#AAAAAA
utig4-427	0	0	0:0	#AAAAAA
utig4-428	24	0	24:0	#AAAAAA
utig4-429	10	0	10:0	#AAAAAA
utig4-430	30	0	30:0	#AAAAAA
utig4-431	0	88	0:88	#AAAAAA
utig4-432	146049	174	146049:174	#FF8888
utig4-433	341	133116	341:133116	#8888FF
utig4-434	0	0	0:0	#AAAAAA
utig4-435	0	0	0:0	#AAAAAA
utig4-436	30	0	30:0	#AAAAAA
utig4-437	97100	47	97100:47	#FF8888
utig4-438	133	97504	133:97504	#8888FF
utig4-439	0	0	0:0	#AAAAAA
utig4-440	0	0	0:0	#AAAAAA
utig4-441	13	0	13:0	#AAAAAA
utig4-442	0	0	0:0	#AAAAAA
utig4-443	0	19	0:19	#AAAAAA
utig4-444	69186	174	69186:174	#FF8888
utig4-445	271	72564	271:72564	#8888FF
utig4-446	152	77940	152:77940	#8888FF
utig4-447	85444	106	85444:106	#FF8888
utig4-448	0	0	0:0	#AAAAAA
utig4-449	137	135198	137:135198	#8888FF
utig4-450	140938	110	140938:110	#FF8888
utig4-451	0	0	0:0	#AAAAAA
utig4-452	218632	164	218632:164	#FF8888
utig4-453	309	262996	309:262996	#8888FF
utig4-454	305	150611	305:150611	#8888FF
utig4-455	216930	50	216930:50	#FF8888
utig4-456	1	0	1:0	#AAAAAA
utig4-457	211549	159	211549:159	#FF8888
utig4-458	463	270684	463:270684	#8888FF
utig4-459	56	59748	56:59748	#8888FF
utig4-460	61039	29	61039:29	#FF8888
utig4-461	0	0	0:0	#AAAAAA
utig4-462	434	157032	434:157032	#8888FF
utig4-463	170669	203	170669:203	#FF8888
utig4-464	157078	135	157078:135	#FF8888
utig4-465	181	154650	181:154650	#8888FF
utig4-466	0	0	0:0	#AAAAAA
utig4-467	45531	52	45531:52	#FF8888
utig4-468	78	41415	78:41415	#8888FF
utig4-469	5	0	5:0	#AAAAAA
utig4-470	35	97	35:97	#FFFF00
utig4-471	0	0	0:0	#AAAAAA
utig4-472	0	0	0:0	#AAAAAA
utig4-473	0	59	0:59	#AAAAAA
utig4-474	484681	599	484681:599	#FF8888
utig4-475	789	480215	789:480215	#8888FF
utig4-476	10	0	10:0	#AAAAAA
utig4-477	94736	191	94736:191	#FF8888
utig4-478	267	115002	267:115002	#8888FF
utig4-479	368	95644	368:95644	#8888FF
utig4-480	0	0	0:0	#AAAAAA
utig4-481	133677	170	133677:170	#FF8888
utig4-482	411	136341	411:136341	#8888FF
utig4-483	255	61435	255:61435	#8888FF
utig4-484	36185	77	36185:77	#FF8888
utig4-485	0	0	0:0	#AAAAAA
utig4-486	0	0	0:0	#AAAAAA
utig4-487	199	0	199:0	#FF8888
utig4-488	0	0	0:0	#AAAAAA
utig4-489	92884	127	92884:127	#FF8888
utig4-490	162	104086	162:104086	#8888FF
utig4-491	225426	170	225426:170	#FF8888
utig4-492	326	185744	326:185744	#8888FF
utig4-493	0	0	0:0	#AAAAAA
utig4-494	421	322765	421:322765	#8888FF
utig4-495	251066	228	251066:228	#FF8888
utig4-496	59225	85	59225:85	#FF8888
utig4-497	218	102180	218:102180	#8888FF
utig4-498	0	0	0:0	#AAAAAA
utig4-499	442	178835	442:178835	#8888FF
utig4-500	145609	249	145609:249	#FF8888
utig4-501	0	0	0:0	#AAAAAA
utig4-502	0	0	0:0	#AAAAAA
utig4-503	7	0	7:0	#AAAAAA
utig4-504	7	0	7:0	#AAAAAA
utig4-505	7	0	7:0	#AAAAAA
utig4-506	7	0	7:0	#AAAAAA
utig4-507	116392	7	116392:7	#FF8888
utig4-508	0	0	0:0	#AAAAAA
utig4-509	28	0	28:0	#AAAAAA
utig4-510	7	0	7:0	#AAAAAA
utig4-511	7	0	7:0	#AAAAAA
utig4-512	30	0	30:0	#AAAAAA
utig4-513	7	0	7:0	#AAAAAA
utig4-514	0	0	0:0	#AAAAAA
utig4-515	0	0	0:0	#AAAAAA
utig4-516	49	50402	49:50402	#8888FF
utig4-517	50721	97	50721:97	#FF8888
utig4-518	339	173369	339:173369	#8888FF
utig4-519	202122	313	202122:313	#FF8888
utig4-520	1	1	1:1	#AAAAAA
utig4-521	40044	109	40044:109	#FF8888
utig4-522	42	38796	42:38796	#8888FF
utig4-523	68551	71	68551:71	#FF8888
utig4-524	205	64098	205:64098	#8888FF
utig4-525	0	0	0:0	#AAAAAA
utig4-526	125	141848	125:141848	#8888FF
utig4-527	101137	136	101137:136	#FF8888
utig4-528	0	0	0:0	#AAAAAA
utig4-529	0	59	0:59	#AAAAAA
utig4-530	0	0	0:0	#AAAAAA
utig4-531	320489	325	320489:325	#FF8888
utig4-532	20141	150	20141:150	#FF8888
utig4-533	21	10	21:10	#AAAAAA
utig4-534	226623	296	226623:296	#FF8888
utig4-535	429	260390	429:260390	#8888FF
utig4-536	379	153765	379:153765	#8888FF
utig4-537	133708	194	133708:194	#FF8888
utig4-538	153012	108	153012:108	#FF8888
utig4-539	0	0	0:0	#AAAAAA
utig4-540	0	0	0:0	#AAAAAA
utig4-541	3738	0	3738:0	#FF8888
utig4-542	0	0	0:0	#AAAAAA
utig4-543	29	0	29:0	#AAAAAA
utig4-544	13	0	13:0	#AAAAAA
utig4-545	41	0	41:0	#AAAAAA
utig4-546	13	0	13:0	#AAAAAA
utig4-547	0	0	0:0	#AAAAAA
utig4-548	33	0	33:0	#AAAAAA
utig4-549	0	0	0:0	#AAAAAA
utig4-550	0	0	0:0	#AAAAAA
utig4-551	0	0	0:0	#AAAAAA
utig4-552	0	0	0:0	#AAAAAA
utig4-553	0	0	0:0	#AAAAAA
utig4-554	0	0	0:0	#AAAAAA
utig4-555	5	0	5:0	#AAAAAA
utig4-556	7	0	7:0	#AAAAAA
utig4-557	0	0	0:0	#AAAAAA
utig4-558	0	0	0:0	#AAAAAA
utig4-559	0	0	0:0	#AAAAAA
utig4-560	0	0	0:0	#AAAAAA
utig4-561	0	0	0:0	#AAAAAA
utig4-562	0	0	0:0	#AAAAAA
utig4-563	0	0	0:0	#AAAAAA
utig4-564	627	267757	627:267757	#8888FF
utig4-565	128	2165	128:2165	#8888FF
utig4-566	3358	7	3358:7	#FF8888
utig4-567	245194	273	245194:273	#FF8888
utig4-568	0	0	0:0	#AAAAAA
utig4-569	20	0	20:0	#AAAAAA
utig4-570	0	0	0:0	#AAAAAA
utig4-571	0	30	0:30	#AAAAAA
utig4-572	0	0	0:0	#AAAAAA
utig4-573	7	19	7:19	#AAAAAA
utig4-574	12	0	12:0	#AAAAAA
utig4-575	7	8	7:8	#AAAAAA
utig4-576	7	0	7:0	#AAAAAA
utig4-577	7	0	7:0	#AAAAAA
utig4-578	7	25	7:25	#AAAAAA
utig4-579	25	0	25:0	#AAAAAA
utig4-580	7	28	7:28	#AAAAAA
utig4-581	0	0	0:0	#AAAAAA
utig4-582	7	0	7:0	#AAAAAA
utig4-583	0	0	0:0	#AAAAAA
utig4-584	7	0	7:0	#AAAAAA
utig4-585	0	0	0:0	#AAAAAA
utig4-586	39	0	39:0	#AAAAAA
utig4-587	7	0	7:0	#AAAAAA
utig4-588	7	0	7:0	#AAAAAA
utig4-589	87	0	87:0	#AAAAAA
utig4-590	7	0	7:0	#AAAAAA
utig4-591	0	30	0:30	#AAAAAA
utig4-592	0	0	0:0	#AAAAAA
utig4-593	0	0	0:0	#AAAAAA
utig4-594	0	0	0:0	#AAAAAA
utig4-595	0	0	0:0	#AAAAAA
utig4-596	0	0	0:0	#AAAAAA
utig4-597	0	0	0:0	#AAAAAA
utig4-598	45	0	45:0	#AAAAAA
utig4-599	45	0	45:0	#AAAAAA
utig4-600	55	0	55:0	#AAAAAA
utig4-601	34	487107	34:487107	#8888FF
utig4-602	7	0	7:0	#AAAAAA
utig4-603	0	147	0:147	#8888FF
utig4-604	0	93	0:93	#AAAAAA
utig4-605	0	121	0:121	#8888FF
utig4-606	0	231	0:231	#8888FF
utig4-607	0	1091	0:1091	#8888FF
utig4-608	0	19	0:19	#AAAAAA
utig4-609	0	0	0:0	#AAAAAA
utig4-610	31	9091	31:9091	#8888FF
utig4-611	14042	23	14042:23	#FF8888
utig4-612	38715	56	38715:56	#FF8888
utig4-613	155	41319	155:41319	#8888FF
utig4-614	56	0	56:0	#AAAAAA
utig4-615	0	0	0:0	#AAAAAA
utig4-616	30	0	30:0	#AAAAAA
utig4-617	0	0	0:0	#AAAAAA
utig4-618	51	0	51:0	#AAAAAA
utig4-619	0	0	0:0	#AAAAAA
utig4-620	0	0	0:0	#AAAAAA
utig4-621	126	12393	126:12393	#8888FF
utig4-622	476	0	476:0	#FF8888
utig4-623	357	0	357:0	#FF8888
utig4-624	0	0	0:0	#AAAAAA
utig4-625	6	0	6:0	#AAAAAA
utig4-626	0	0	0:0	#AAAAAA
utig4-627	0	0	0:0	#AAAAAA
utig4-628	0	0	0:0	#AAAAAA
utig4-629	0	14	0:14	#AAAAAA
utig4-630	0	0	0:0	#AAAAAA
utig4-631	0	138	0:138	#8888FF
utig4-632	0	85	0:85	#AAAAAA
utig4-633	0	259	0:259	#8888FF
utig4-634	0	229	0:229	#8888FF
utig4-635	0	496	0:496	#8888FF
